Solution_ID,Model,Threshold,Regularization,Class_Weight,Profit,AUC_ROC,Fairness_Score,Approval_Rate,Approval_Rate_GroupA,Approval_Rate_GroupB,Demographic_Parity_Diff
1,LogisticRegression,0.2,0.1,balanced,369.9114189457555,0.6793893398564379,0.7972813183409889,0.2853386859979666,0.7892189265845306,0.9014540391438045,0.21026432839954462
2,RandomForest,0.2666666666666667,1.2000000000000002,None,118.6560359515893,0.8109123317525504,0.6139276941157027,0.7896021558168649,0.3435838805521892,0.8681279801660644,0.03303170498438986
3,LogisticRegression,0.33333333333333337,2.3000000000000003,balanced,172.76511789538813,0.8151376664840249,0.8459422458562914,0.8172999197466558,0.9220652619932145,0.7208318069080258,0.22781193624278964
4,RandomForest,0.4,3.4000000000000004,None,10.446076938303662,0.75015066141783,0.5549532574512938,0.41609917729675805,0.14551741118045441,0.7391129862274515,0.10434281677229801
5,LogisticRegression,0.46666666666666673,4.5,balanced,-25.730711343361264,0.6750529277820094,0.5739349640529691,0.7644689486350311,0.2994337716911889,0.3890747804282501,0.046837554956294165
6,RandomForest,0.5333333333333334,5.6,None,125.056877287422,0.663387440136459,0.736727186872718,0.19261151256196096,0.5898963213828954,0.35611188555664425,0.14268168916367557
7,LogisticRegression,0.6000000000000001,6.7,balanced,18.48170535557037,0.7969925394720887,0.5051848321747326,0.7504943178601111,0.5980259534029316,0.4461758839105723,0.15579969439373836
8,RandomForest,0.6666666666666667,7.800000000000001,None,109.82391064769016,0.8499886504824908,0.5866935202343462,0.139270709081001,0.2003372273716334,0.5735925617595063,0.11758801881644043
9,LogisticRegression,0.7333333333333334,8.9,balanced,-7.7361178178042564,0.7352879144519114,0.769884006546093,0.6856634986005947,0.5985683380468765,0.9318776350660523,0.10066350894089467
10,RandomForest,0.8,10.0,None,1.625202273700424,0.8401719468447821,0.753681100972788,0.2595706903558228,0.3306155329817516,0.17913048818558236,0.18924043696788642
